FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7, F8,T3,T4,T5,T6,FZ,CZ,PZ
1.386720e+02,-3.964840e+02,6.269500e+01,5.615200e+01,5.166000e+01,-5.752000e+01,2.089800e+01,-1.197270e+02,2.265600e+01,9.770000e-01,6.103500e+01,-5.075200e+02,-2.096680e+02,-2.177730e+02,-4.161130e+02,-2.177700e+01,1.452150e+02,7.548800e+01,4.209000e+01
1.562500e+02,-3.741210e+02,8.232400e+01,7.529300e+01,6.494100e+01,-6.748000e+01,3.486300e+01,-1.010740e+02,2.773400e+01,1.377000e+01,8.671900e+01,-4.914060e+02,-2.105470e+02,-2.079100e+02,-4.003910e+02,-9.863000e+00,1.592770e+02,9.443400e+01,5.918000e+01
1.591800e+02,-3.592770e+02,9.804700e+01,9.433600e+01,6.611300e+01,-6.718800e+01,3.154300e+01,-9.287100e+01,1.845700e+01,1.718700e+01,6.962900e+01,-4.791990e+02,-2.289060e+02,-1.994140e+02,-3.999020e+02,-1.465000e+00,1.638670e+02,1.006840e+02,6.445300e+01
1.738280e+02,-3.378910e+02,1.132810e+02,1.105470e+02,7.285200e+01,-7.627000e+01,3.984400e+01,-7.353500e+01,2.343800e+01,3.642600e+01,6.406300e+01,-4.651370e+02,-2.568360e+02,-1.817380e+02,-3.893550e+02,1.835900e+01,1.747070e+02,1.157230e+02,8.085900e+01
1.682620e+02,-3.516600e+02,8.193400e+01,9.423800e+01,5.800800e+01,-6.494100e+01,2.763700e+01,-8.466800e+01,1.611300e+01,2.705100e+01,8.642600e+01,-4.734380e+02,-2.415040e+02,-1.857420e+02,-3.875000e+02,3.320000e+00,1.623050e+02,9.941400e+01,6.572300e+01
1.446290e+02,-3.782230e+02,5.439500e+01,7.011700e+01,4.199200e+01,-4.873000e+01,1.210900e+01,-1.003910e+02,1.396500e+01,1.367200e+01,6.123000e+01,-4.770510e+02,-2.287110e+02,-2.026370e+02,-4.029300e+02,-1.230500e+01,1.422850e+02,7.646500e+01,4.628900e+01
1.286130e+02,-3.995120e+02,4.619100e+01,5.478500e+01,3.164100e+01,-3.466800e+01,-3.809000e+00,-1.185550e+02,7.031000e+00,-1.562000e+00,3.359400e+01,-4.968750e+02,-2.322270e+02,-2.219730e+02,-4.297850e+02,-2.724600e+01,1.321290e+02,6.113300e+01,2.988300e+01
1.264650e+02,-4.103520e+02,4.511700e+01,4.531200e+01,3.447300e+01,-3.623000e+01,-3.516000e+00,-1.356450e+02,1.191400e+01,-1.552700e+01,4.091800e+01,-5.170900e+02,-2.205080e+02,-2.410160e+02,-4.433590e+02,-4.794900e+01,1.305660e+02,5.664100e+01,2.148400e+01
1.059570e+02,-4.445310e+02,2.519500e+01,1.103500e+01,2.597700e+01,-3.056600e+01,-1.357400e+01,-1.637700e+02,5.762000e+00,-4.101600e+01,1.865200e+01,-5.451170e+02,-2.223630e+02,-2.791020e+02,-4.662110e+02,-7.929700e+01,1.107420e+02,3.750000e+01,1.950000e-01
1.062500e+02,-4.384770e+02,2.871100e+01,2.285200e+01,3.183600e+01,-3.798800e+01,-7.520000e+00,-1.543950e+02,7.422000e+00,-3.378900e+01,1.826200e+01,-5.524410e+02,-2.211910e+02,-2.834960e+02,-4.610350e+02,-6.777300e+01,1.157230e+02,4.619100e+01,9.375000e+00
1.427730e+02,-3.911130e+02,6.171900e+01,6.201200e+01,4.677700e+01,-5.146500e+01,1.796900e+01,-1.215820e+02,2.480500e+01,-1.855000e+00,7.646500e+01,-5.123050e+02,-2.001950e+02,-2.198240e+02,-4.242190e+02,-2.460900e+01,1.464840e+02,7.607400e+01,4.033200e+01
1.677730e+02,-3.604490e+02,8.593700e+01,8.261700e+01,6.416000e+01,-6.552700e+01,3.984400e+01,-1.026370e+02,3.447300e+01,1.972700e+01,9.335900e+01,-4.716800e+02,-2.052730e+02,-1.900390e+02,-3.883790e+02,-1.465000e+00,1.649410e+02,9.736300e+01,6.113300e+01
1.664060e+02,-3.552730e+02,9.462900e+01,9.755900e+01,6.377000e+01,-6.621100e+01,4.033200e+01,-9.658200e+01,3.173800e+01,2.460900e+01,7.158200e+01,-4.796880e+02,-2.310550e+02,-2.016600e+02,-3.933590e+02,4.880000e-01,1.660160e+02,1.011720e+02,6.611300e+01
